case_id,MAE,RMSE,R2
2,20.382755819954784,64.32885851351709,0.9424704558667263
18,22.083964784104875,56.65727405142428,0.9551773385477286
16,19.04879568930506,45.632428434726755,0.9723119973243356
1,9.252383398617173,25.98330451467499,0.9908251068410628
5,0.2165280841819648,1.655750319127165,0.9999614744594403
15,0.13924210420692706,1.6160640880203334,0.9999637970917433
4,0.11403473765172148,1.5961884783243698,0.9999654236519203
10,0.1725864214312019,1.5576624947046789,0.9999670434359161
7,0.12507074780329758,1.3931221039030701,0.9999731437112439
8,0.1518989062019989,1.3898769764528647,0.999973843735129
12,0.11871646139640321,1.3809375779023514,0.9999736756087327
13,0.11981239378410087,1.3798251499878587,0.9999736949336481
6,0.12359831366163583,1.375933084243476,0.9999743360537321
3,0.16631022195008752,1.3558578310680223,0.999974361267659
14,0.1535436416243658,1.2917537007432667,0.9999771710099661
17,0.24731888108957545,1.289842757253694,0.9999777514438458
9,0.1704156557974688,0.91260387022409,0.9999889382275113
11,0.09706076151742908,0.7743494059725511,0.9999917391977793
19,0.09163727921220315,0.2775240822193667,0.9999989702863048
20,0.07333582712814976,0.21631559237708223,0.999999378103611
